date,depth,mag,place,latitude,longitude,depth_avg_22,depth_avg_15,depth_avg_7,mag_avg_22,mag_avg_15,mag_avg_7,mag_outcome
2024-04-13,11.68,2.16,Washington,46.89357413793103,-122.19759229885057,10.073636363636364,10.924000000000001,8.14,0.8704545454545454,0.9333333333333333,1.207142857142857,
2024-04-13,20.04,1.79,Washington,46.89357413793103,-122.19759229885057,10.329545454545455,11.033999999999999,11.127142857142857,0.935,0.9726666666666667,1.2128571428571429,
2024-04-13,-0.23,1.39,Washington,46.89357413793103,-122.19759229885057,10.4,10.601333333333335,11.147142857142857,1.0063636363636363,1.0346666666666666,1.2314285714285715,
2024-04-14,-1.85,-1.03,Washington,46.89357413793103,-122.19759229885057,9.897727272727273,9.619333333333334,10.911428571428573,0.93,0.9440000000000001,0.89,
2024-04-14,20.47,0.72,Washington,46.89357413793103,-122.19759229885057,10.48,10.590666666666666,11.234285714285713,0.9695454545454545,0.9966666666666666,0.8585714285714285,
2024-04-14,2.27,0.02,Washington,46.89357413793103,-122.19759229885057,9.878636363636362,9.403333333333332,10.518571428571429,0.9081818181818182,0.9486666666666667,0.8857142857142856,
2024-04-14,-1.8,-0.44,Washington,46.89357413793103,-122.19759229885057,9.815,8.922666666666665,7.225714285714284,0.8054545454545455,0.9186666666666666,0.6585714285714286,
2024-04-10,8.8,0.7,California,40.306556338028166,-119.82691267605635,5.435,4.551333333333334,6.185714285714285,1.309090909090909,1.46,1.3142857142857143,
2024-04-10,6.2,1.1,California,40.306556338028166,-119.82691267605635,5.089545454545455,4.838,7.071428571428571,1.3272727272727274,1.3933333333333333,1.2428571428571427,
2024-04-11,8.0,1.4,California,40.306556338028166,-119.82691267605635,5.453181818181818,5.371333333333334,6.514285714285714,1.3272727272727274,1.4,1.2857142857142858,
2024-04-11,3.7,1.5,California,40.306556338028166,-119.82691267605635,5.471363636363637,5.617999999999999,6.271428571428571,1.3818181818181818,1.3599999999999999,1.3714285714285714,
2024-04-12,0.1,1.3,California,40.306556338028166,-119.82691267605635,4.989545454545454,4.958,5.514285714285714,1.3681818181818182,1.4200000000000002,1.3285714285714287,
2024-04-12,3.6,0.8,California,40.306556338028166,-119.82691267605635,4.803181818181819,4.931333333333333,5.257142857142857,1.3636363636363635,1.4133333333333333,1.1,
2024-04-12,9.2,1.2,California,40.306556338028166,-119.82691267605635,4.971363636363636,5.038,5.657142857142857,1.4000000000000001,1.3666666666666667,1.1428571428571428,
2024-04-12,8.6,1.8,Nevada,37.94743631100083,-117.42696674937966,6.595454545454545,6.406666666666666,7.528571428571429,0.7090909090909091,0.8533333333333333,0.7285714285714288,
2024-04-12,8.0,0.0,Nevada,37.94743631100083,-117.42696674937966,6.959090909090909,6.36,8.671428571428573,0.6409090909090909,0.8133333333333332,0.6714285714285716,
2024-04-12,12.1,1.2,Nevada,37.94743631100083,-117.42696674937966,7.163636363636363,7.166666666666667,9.614285714285714,0.7000000000000001,0.8333333333333334,0.7285714285714286,
2024-04-12,7.2,-0.2,Nevada,37.94743631100083,-117.42696674937966,6.972727272727272,7.253333333333333,9.328571428571427,0.6045454545454546,0.7733333333333333,0.7428571428571429,
2024-04-12,0.0,1.7,Nevada,37.94743631100083,-117.42696674937966,6.759090909090909,6.92,7.985714285714286,0.6909090909090909,0.8,0.8142857142857143,
2024-04-13,9.6,-0.3,Nevada,37.94743631100083,-117.42696674937966,6.781818181818181,7.0,7.528571428571429,0.6818181818181818,0.6799999999999999,0.5571428571428573,
2024-04-13,2.6,1.4,Nevada,37.94743631100083,-117.42696674937966,6.6000000000000005,7.173333333333333,6.871428571428571,0.75,0.6266666666666667,0.8000000000000002,
2024-04-08,557.904,4.3,Tonga,-19.32145588235294,-175.5415411764706,199.08831818181815,264.7060666666667,319.031,4.636363636363637,4.566666666666666,4.542857142857143,
2024-04-08,10.0,5.2,Tonga,-19.32145588235294,-175.5415411764706,190.1641363636364,262.8594,319.1617142857143,4.672727272727273,4.586666666666667,4.6571428571428575,
2024-04-10,196.834,4.6,Tonga,-19.32145588235294,-175.5415411764706,198.59954545454548,275.31499999999994,308.1601428571429,4.677272727272728,4.573333333333333,4.742857142857143,
2024-04-12,146.27,4.6,Tonga,-19.32145588235294,-175.5415411764706,204.79363636363635,247.92340000000002,312.0095714285714,4.663636363636363,4.6,4.6,
2024-04-13,499.096,4.9,Tonga,-19.32145588235294,-175.5415411764706,226.98668181818184,280.5298,312.68742857142854,4.6454545454545455,4.5600000000000005,4.671428571428572,
2024-04-13,10.0,5.3,Tonga,-19.32145588235294,-175.5415411764706,226.98668181818184,249.7226,279.75142857142856,4.6499999999999995,4.633333333333334,4.771428571428571,
2024-04-14,228.554,4.9,Tonga,-19.32145588235294,-175.5415411764706,230.46213636363638,248.10406666666668,235.5225714285714,4.654545454545455,4.673333333333333,4.828571428571428,
2024-04-08,53.782,5.1,Japan,35.88522666666667,138.30105999999998,57.610272727272736,54.04233333333333,41.98385714285714,4.713636363636364,4.819999999999999,5.0,
2024-04-08,35.0,4.6,Japan,35.88522666666667,138.30105999999998,56.502,55.895733333333325,41.26085714285714,4.7318181818181815,4.84,4.785714285714286,
2024-04-08,83.43,4.3,Japan,35.88522666666667,138.30105999999998,57.97199999999999,59.058933333333336,44.13914285714286,4.736363636363635,4.819999999999999,4.685714285714285,
2024-04-10,182.719,4.6,Japan,35.88522666666667,138.30105999999998,63.28636363636363,68.54553333333334,67.498,4.745454545454546,4.819999999999999,4.571428571428571,
